Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1303.732	-1518.431	214.699	0.5821672	4.085726
6	-1298.28	-1513.828	215.5482	0.6269339	3.571462
12	-1306.256	-1520.813	214.5566	0.580878	4.167482
18	-1315.207	-1529.267	214.0596	0.6936921	4.385008
24	-1322.334	-1536.791	214.4569	0.7813018	4.110203
30	-1331.277	-1547.462	216.1845	0.9543661	3.002921
36	-1314.559	-1528.877	214.3182	0.7515746	4.20592
42	-1309.15	-1523.721	214.5709	0.5936283	4.152079
48	-1327.124	-1540.809	213.6849	0.5701349	4.665114
54	-1319.837	-1534.65	214.8129	0.752881	3.923115
60	-1326.188	-1541.015	214.8261	0.7396921	3.923115
66	-1321.671	-1535.9	214.2283	0.5931542	4.346508
72	-1324.288	-1540.426	216.1379	0.8926325	3.067797
78	-1319.649	-1534.35	214.7013	0.8607233	3.925275
84	-1338.079	-1553.264	215.1847	0.7509122	3.710335
90	-1310.91	-1525.313	214.4031	0.6554608	4.212303
96	-1303.235	-1518.148	214.913	0.7428997	3.871401
102	-1308.848	-1523.821	214.973	0.6970606	3.863302
108	-1301.235	-1516.332	215.0974	0.5179425	3.894725
114	-1307.906	-1522.046	214.14	0.6874224	4.343156
120	-1295.108	-1508.57	213.4622	0.4871795	4.835905
126	-1303.02	-1518.848	215.8284	0.5825392	3.43394
132	-1306.421	-1522.262	215.8405	0.5704605	3.43394
138	-1306.464	-1519.459	212.9951	0.6223095	5.020639
144	-1302.62	-1516.143	213.523	0.4807845	4.805561
150	-1297.857	-1513.206	215.3491	0.7502965	3.615464
156	-1301.896	-1517.625	215.7292	0.8891467	3.312175
162	-1302.216	-1517.706	215.4901	0.823269	3.490939
168	-1299.089	-1513.673	214.5848	0.7039261	4.081428
174	-1318.288	-1533.354	215.0656	0.796632	3.752682
180	-1314.899	-1529.295	214.3958	0.796632	4.136235
186	-1320.864	-1535.033	214.169	0.7495001	4.291634
192	-1304.653	-1519.107	214.4538	0.7284232	4.142036
198	-1297.904	-1513.166	215.2614	0.7784327	3.650006
204	-1313.999	-1528.351	214.3516	0.7211153	4.204262
210	-1306.034	-1521.108	215.0739	0.8824337	3.698321
216	-1298.012	-1513.782	215.7698	0.8682153	3.300606
222	-1296.224	-1512.324	216.0995	1.021137	3.013836
228	-1296.572	-1511.213	214.6406	0.6226106	4.095941
234	-1301.553	-1514.943	213.3898	0.552348	4.839917
240	-1316.171	-1532.309	216.1382	0.9152587	3.054075
246	-1320.262	-1535.859	215.5962	0.7868548	3.450234
252	-1311.335	-1526.228	214.8926	0.8340381	3.830799
258	-1317.867	-1532.83	214.9626	0.7639755	3.830799
264	-1296.306	-1511.831	215.5251	0.6998439	3.542535
270	-1290.071	-1504.067	213.9964	0.6621485	4.43841
276	-1300.679	-1514.784	214.1053	0.5939399	4.415475
282	-1300.771	-1514.753	213.9815	0.7177723	4.415475
288	-1303.034	-1518.195	215.1616	0.7845654	3.704236
294	-1303.732	-1519.382	215.6505	0.8406865	3.386936
300	-1303.723	-1519.07	215.3464	0.9758835	3.485737
306	-1297.425	-1513.481	216.0554	0.8537846	3.140123
312	-1286.758	-1501.679	214.9207	0.7833005	3.843788
318	-1292.982	-1507.711	214.7288	0.7833005	3.953859
324	-1293.576	-1508.381	214.8055	0.8140773	3.892255
330	-1289.117	-1504.528	215.4105	0.8854635	3.501133
336	-1292.457	-1508.415	215.9575	1.055654	3.078164
342	-1294.496	-1511.447	216.9507	1.06156	2.468168
348	-1307.875	-1524.826	216.9507	1.06156	2.468168
354	-1316.712	-1533.989	217.2772	1.188348	2.179314
360	-1305.276	-1522.338	217.0621	1.05282	2.403579
366	-1305.372	-1522.546	217.1735	1.103806	2.300488
372	-1313.125	-1529.125	215.9999	3.335976	0.07780041
378	-1316.808	-1532.817	216.0094	3.312785	0.0765469
384	-1315.322	-1531.331	216.0094	3.312785	0.0765469
390	-1316.721	-1532.736	216.0143	3.312785	0.07699126
396	-1320.107	-1536.121	216.0143	3.312785	0.07699126
402	-1308.354	-1524.455	216.1011	0.8651562	3.106124
408	-1305.261	-1520.374	215.1121	0.8656713	3.685934
414	-1302.776	-1518.529	215.7524	0.8439384	3.325163
420	-1317.331	-1533.631	216.3002	3.197354	0.09456321
426	-1312.079	-1528.337	216.2583	3.197354	0.08983822
432	-1304.213	-1520.389	216.1755	3.241871	0.08575643
438	-1318.418	-1534.472	216.0534	3.241871	0.07415635
444	-1317.087	-1533.628	216.5407	3.054666	0.1068855
450	-1314.704	-1530.677	215.9727	1.092838	3.046839
456	-1310.053	-1526.065	216.012	1.05356	3.046839
462	-1303.926	-1520.447	216.5211	3.054666	0.1042657
468	-1300.683	-1517.151	216.4681	3.054666	0.09756615
474	-1308.029	-1522.178	214.149	0.6792493	4.342685
480	-1308.855	-1523.743	214.8882	0.7235183	3.896786
486	-1310.637	-1524.338	213.7017	0.8876142	4.47745
492	-1310.924	-1524.877	213.9531	0.6361695	4.47745
498	-1308.195	-1522.071	213.8753	0.7854039	4.43721
504	-1300.67	-1517.791	217.1213	2.820153	0.1721523
510	-1289.67	-1507.549	217.8791	2.400714	0.3333308
516	-1297.62	-1515.408	217.7888	2.400714	0.2663682
522	-1296.24	-1513.907	217.6669	2.489594	0.2488479
528	-1293.554	-1511.184	217.6299	2.489594	0.2317191
534	-1298.036	-1515.646	217.6106	2.505835	0.2304131
540	-1304.101	-1521.767	217.6653	2.459244	0.233916
546	-1298.735	-1516.593	217.8587	2.413541	0.3259351
552	-1319.797	-1536.057	216.2597	0.8959535	2.992843
558	-1307.202	-1523.584	216.3816	0.9119511	2.909836
564	-1304.077	-1519.14	215.0621	0.7436155	3.785245
570	-1296.131	-1510.969	214.8377	0.8554481	3.850008
576	-1297.852	-1513.246	215.394	0.6787563	3.630907
582	-1305.923	-1523.71	217.7876	2.462299	0.3067431
588	-1312.131	-1529.787	217.6561	2.462299	0.2312492
594	-1308.057	-1525.788	217.7311	2.462299	0.2686274
600	-1302.678	-1520.362	217.6845	2.462299	0.2441223
606	-1304.541	-1522.331	217.7898	2.4267	0.28277
612	-1318.037	-1534.141	216.1047	1.02213	3.010137
618	-1318.938	-1534.58	215.6427	0.8639785	3.377856
624	-1314.353	-1530.79	216.4374	0.8968961	2.885192
630	-1301.22	-1516.354	215.1344	0.9630411	3.616591
636	-1306.329	-1521.768	215.4383	0.9438378	3.450789
642	-1299.415	-1515.126	215.7108	0.8602567	3.340021
